,age,sl
274,5.42,-2.18
275,5.43,-3.46
276,5.44,-2.52
277,5.45,-1.77
278,5.46,-2.165
279,5.47,-1.585
280,5.48,-2.37
281,5.5,-2.986666666666667
282,5.56,-1.745
283,5.6,-2.63
284,5.63,-1.71
285,5.68,-1.66
286,5.69,-1.76
287,5.71,-1.8399999999999999
288,5.74,-1.85
289,5.75,-0.99
290,5.76,-3.0700000000000003
291,5.77,-1.9466666666666665
292,5.78,-2.23
293,5.79,-3.01
294,5.81,-3.21
295,5.82,-0.87
296,5.85,-3.075
297,5.86,-2.05
298,5.89,-2.68
299,5.9,-2.94
300,5.92,-1.84
301,5.94,-2.715
302,5.95,-1.935
303,5.96,-2.8
304,5.97,-2.81
305,5.99,-3.6633333333333327
306,6.02,-3.33
307,6.03,-2.3525
308,6.05,-2.823333333333333
309,6.06,-3.12
310,6.07,-2.755
311,6.08,-2.85
312,6.09,-3.0149999999999997
313,6.1,-3.1566666666666667
314,6.11,-3.296666666666667
315,6.12,-3.395
316,6.13,-4.109999999999999
317,6.14,-3.45
318,6.15,-2.98
319,6.16,-3.25
320,6.17,-3.31
321,6.18,-3.69
322,6.2,-2.29
323,6.22,-2.72
324,6.23,-4.48
325,6.24,-2.495
326,6.27,-4.734999999999999
327,6.28,-7.44
328,6.3,-3.33
329,6.31,-2.56
330,6.32,-2.65
331,6.33,-3.14
332,6.34,-3.3
333,6.35,-3.17
334,6.36,-2.49
335,6.38,-3.723333333333333
336,6.41,-3.4050000000000002
337,6.42,-4.58
338,6.43,-4.0
339,6.44,-2.53
340,6.45,-4.13
341,6.46,-3.94
342,6.48,-4.24
343,6.49,-3.8675
344,6.5,-4.02
345,6.52,-3.5300000000000002
346,6.53,-3.6
347,6.54,-3.53
348,6.56,-2.78
349,6.57,-3.13
350,6.58,-3.55
351,6.59,-4.0
352,6.6,-3.4
353,6.62,-3.27
354,6.64,-3.85
355,6.65,-3.72
356,6.66,-3.77
357,6.67,-2.71
358,6.7,-4.28
359,6.71,-3.96
360,6.74,-3.38
361,6.75,-4.09
362,6.78,-2.63
363,6.82,-4.875
364,6.83,-1.2
365,6.84,-5.22
366,6.87,-4.49
367,6.9,-9.47
368,6.91,-4.82
369,6.92,-2.905
370,6.93,-5.0600000000000005
371,6.95,-6.48
372,6.97,-3.3
373,6.98,-4.78
