,age,dsl,dt,fwf
0.07,,,,
0.09,0.08,0.0009630324036429827,630719999.9999996,-552.729785195903
0.12,0.105,0.001307735078210956,946080000.0,-500.3806214192944
0.18,0.15,0.0011544666202082526,1892160000.0,-220.86764148665412
0.36,0.27,-0.009822992622255222,5676480000.0,626.4310504496432
0.37,0.365,-1.599582605414651e-05,315360000.00000024,18.361520267633917
0.43,0.4,0.023644640247341454,1892160000.0,-4523.591963437345
0.44,0.435,0.0051865232058171465,315360000.00000024,-5953.5813055105455
0.48,0.45999999999999996,0.020150268640105447,1261439999.9999993,-5782.595484302206
0.59,0.5349999999999999,0.0701429009999696,3468959999.999999,-7319.695286768658
0.61,0.6,-0.0012962524856691762,630720000.0000005,743.9805298900327
0.64,0.625,0.007425276263190478,946080000.0000008,-2841.144519781573
0.68,0.66,0.06254078285091484,1261440000.000001,-17947.55469307391
0.72,0.7,0.03890558680950523,1261439999.9999974,-11164.876985858165
0.73,0.725,-0.011466154139930074,315360000.00000024,13161.93492724088
0.74,0.735,-0.01756977233965025,315360000.00000024,20168.244504545237
0.75,0.745,-0.010979425907839638,315360000.00000024,12603.22228132276
0.79,0.77,-0.06192501812608035,1261440000.000001,17770.846462488164
0.8,0.795,-0.017100075659492314,315360000.00000024,19629.082282902757
0.82,0.81,-0.048941745457591515,630719999.999997,28089.97947686487
0.85,0.835,-0.12522774445622878,946080000.0000008,47916.078442790014
0.87,0.86,-0.05073272456113012,630720000.0000005,29117.90698111538
0.91,0.89,-0.10822886811233956,1261440000.000001,31058.82979504922
0.92,0.915,-0.00925281771035913,315360000.00000024,10621.25827990234
0.98,0.95,-0.11156492921783179,1892159999.9999983,21344.127545691244
1.06,1.02,-0.047295458766485,2522880000.000002,6786.274445660339
1.07,1.065,0.015956085859314573,315360000.00000024,-18315.902717757075
1.08,1.0750000000000002,0.037429225568369806,315360000.00000024,-42964.80103928798
1.12,1.1,0.17324309642940558,1261440000.000001,-49716.19808111743
1.13,1.125,0.025757784939600847,315359999.9999933,-29567.21888678242
1.15,1.14,0.0004557176090321524,630720000.0000005,-261.5578616020406
1.16,1.1549999999999998,0.005400862551797586,315360000.00000024,-6199.620255424673
1.18,1.17,0.006407376955371885,630720000.0000005,-3677.496286537006
1.19,1.185,-0.008854167271410585,315360000.00000024,10163.64964564507
1.22,1.205,-0.01976149447278641,946080000.0000008,7561.370073512467
1.25,1.2349999999999999,-0.009164601087565172,946080000.0000008,3506.6649688172133
1.27,1.26,-0.006491309012611662,630720000.0000005,3725.6688587097606
1.28,1.275,-0.007360403840182633,315360000.00000024,8448.966863730693
1.29,1.2850000000000001,-0.014695242804934894,315360000.00000024,16868.58794833342
1.3,1.295,-0.015539915703597584,315360000.00000024,17838.18329750863
1.31,1.3050000000000002,-0.020150052278551045,315360000.00000024,23130.13357697702
1.34,1.3250000000000002,-0.06757498586948152,946080000.0000008,25856.317525740196
1.39,1.365,-0.020794543331976112,1576799999.9999943,4773.988258609449
1.41,1.4,0.011493460936369548,630720000.0000005,-6596.640123931021
1.43,1.42,0.001950105635760202,630720000.0000005,-1119.2577374194454
1.45,1.44,-0.015767560845142803,630720000.0000005,9049.74794828401
1.46,1.455,-0.0017036786579215923,315360000.00000024,1955.643309765398
